"('date', '')","('close', 'bp.l')","('high', 'bp.l')","('low', 'bp.l')","('open', 'bp.l')","('volume', 'bp.l')"
2024-04-18,512.1188354492188,514.8173049730864,507.9211280763572,511.5191281092888,38651074
2024-04-19,514.6174926757812,515.7318711018165,504.3111392799249,510.51970579331373,50577770
2024-04-22,522.2132568359375,523.5125312076374,514.6174520462608,515.8167446960388,37823225
2024-04-23,522.8129272460938,530.3088116608342,520.7141040106319,523.9123602279204,56993159
2024-04-24,525.3115234375,531.1083891670268,525.0117002794768,528.9095843387573,59957431
2024-04-25,526.0111083984375,529.309284869921,519.714578588941,523.0127550604244,65563155
2024-04-26,524.511962890625,533.7269344177729,522.0133349605043,529.0094931648424,26337593
2024-04-29,523.0128173828125,527.5103479257594,522.7129942136152,524.5119942304615,22279994
2024-04-30,520.1144409179688,529.0095202028365,520.1144409179688,525.711343366837,28971121
2024-05-01,509.12042236328125,510.01992232047127,508.52074555821144,519.7146109167501,4659383
2024-05-02,515.5169677734375,520.1144803493875,503.12377776721644,508.22098549178446,31294101
2024-05-03,510.1199035644531,519.7146415078411,505.8222754600092,516.0166597429336,26147916
2024-05-07,503.423583984375,515.217095998956,499.325827945129,506.1220839364417,57493548
2024-05-08,500.225341796875,500.3252930202774,490.38074105794914,497.7267137159715,101765120
2024-05-09,503.8233337402344,507.9210895791906,497.1769896543131,501.8244314286293,88510542
2024-05-10,505.9222106933594,511.4191923048008,500.72505224221,505.8222594729853,45039104
2024-05-13,504.7228698730469,509.02049795084145,501.8244674135461,504.9227723188735,25990894
2024-05-14,502.0243225097656,510.5196576581547,501.02487131583746,507.3214321380826,65513117
2024-05-15,496.67730712890625,506.82173113946544,492.3796484859326,503.7234261877475,28251819
2024-05-16,489.0873718261719,499.73276847548124,485.3390013170678,491.4863533554523,31637236
2024-05-17,491.08648681640625,492.8857229049367,486.88833028513454,490.7866293871427,66722822
2024-05-20,491.0365295410156,496.883993550917,490.9365668946986,491.98612892455196,74139583
2024-05-21,490.5867004394531,493.9852473021155,485.33898193626203,488.5875695810946,74516350
2024-05-22,481.49072265625,493.5354749572773,476.8927151684425,481.54068873046754,48069299
2024-05-23,482.3403015136719,486.2885972905222,476.4928679640946,479.6414930687094,35339546
2024-05-24,482.7901306152344,485.23907826211126,476.49288024371936,479.09172610858724,30736913
2024-05-28,486.78839111328125,490.5867277539165,479.8913953688026,488.0378479693215,96467106
2024-05-29,488.8874816894531,495.1847320029747,487.23820475060865,488.98744433817774,33714893
