"('date', '')","('close', 'ezj.l')","('high', 'ezj.l')","('low', 'ezj.l')","('open', 'ezj.l')","('volume', 'ezj.l')"
2024-04-18,529.8710327148438,546.8668960283387,526.2719331271666,536.8693293733417,15645322
2024-04-19,535.06982421875,535.8696174138132,514.4448376071869,526.4718795659696,3989491
2024-04-22,547.06689453125,553.0654349076447,539.7086996477466,541.2683177047968,4825097
2024-04-23,544.8673706054688,553.8451657359207,544.0675774948791,551.6657035759351,9603511
2024-04-24,536.069580078125,550.6660041798135,534.669896223855,550.0661745395888,2638620
2024-04-25,532.8703002929688,547.2668206189492,530.2709573825881,532.8703002929688,14255103
2024-04-26,538.069091796875,544.6674618988081,538.069091796875,539.4687146262168,2280930
2024-04-29,538.8688354492188,550.0661221561204,525.871998972707,542.8678620573762,2553726
2024-04-30,538.4689331054688,544.0676072261489,534.669869857336,539.668653347065,3336026
2024-05-01,536.069580078125,537.4692029120858,537.2693003788838,537.8691300191085,433209
2024-05-02,546.6669311523438,549.0663715517883,532.8703014062978,535.4696443221093,1946273
2024-05-03,541.4682006835938,553.2653784807881,540.8683710757357,549.8661813154429,1878476
2024-05-07,510.07586669921875,556.2646371895916,499.87833643194614,550.0661336137745,11390292
2024-05-08,524.6723022460938,527.8715358797291,508.8761586416328,511.8754287318585,7071697
2024-05-09,522.6727905273438,528.2714646592212,519.8734839715581,523.672547227289,2493335
2024-05-10,524.8722534179688,535.6696132842203,519.4735429746906,526.2719371685386,7412914
2024-05-13,523.272705078125,529.0712819987975,519.6735441816215,524.8722914630315,11373461
2024-05-14,524.8722534179688,527.8715234375001,515.874443359375,524.472326340576,6823208
2024-05-15,529.271240234375,537.4691966500421,521.6730524316354,526.8717996608133,14759109
2024-05-16,497.57891845703125,514.3408303898927,486.9814914060726,499.87834664754877,20732536
2024-05-17,490.6805725097656,519.473553051748,474.9844107424933,492.18020754862204,8895680
2024-05-20,474.7844543457031,493.1799716638415,472.9849044760523,491.48040356698317,8633256
2024-05-21,464.7868957519531,477.6837514135627,457.188738533359,470.08562470512254,6226630
2024-05-22,465.4867248535156,469.4857516469133,443.39209571796306,463.1872661412201,11072516
2024-05-23,456.4889221191406,475.7842145123858,456.4889221191406,465.1867872325597,5623242
2024-05-24,457.3887023925781,459.2882340709755,440.69275285527925,453.5896390357833,3195752
2024-05-28,463.787109375,470.18554590942784,454.58936639118247,464.2869877059733,3720004
2024-05-29,456.4889221191406,466.5864710415235,453.491635134469,457.8885754179508,5558421
2024-05-30,460.2879638671875,465.18676543859135,450.39037895554446,452.98975239449925,3142836
2024-05-31,459.8880920410156,464.4869790634566,457.1887366880177,461.2877453495445,4644092
2024-06-03,475.2843322753906,477.9346882812455,464.1870267287041,466.58646723296863,3965987
2024-06-04,485.3818664550781,488.65505663364985,471.98513309161314,472.8849079984592,4662843
2024-06-05,487.1814270019531,491.88029568922445,478.3835802587274,488.88102559355843,6785018
2024-06-06,472.9848937988281,490.1806904755835,472.2350762850412,487.2814021909712,4908527
2024-06-07,462.9873352050781,476.18410537698276,462.9873352050781,472.9849022338634,6676769
2024-06-10,459.5881652832031,462.6873866321947,457.18872480505684,458.5884085873598,2633911
2024-06-11,459.188232421875,466.08657794456053,455.8890475711449,462.98732612439284,9456142
2024-06-12,464.6868896484375,467.3862448710048,456.3889214622753,462.2874797340179,2783221
2024-06-13,454.8892822265625,461.78759710774807,451.49011567019664,461.287718775631,2587977
2024-06-14,447.39111328125,458.88831507506984,445.091685126547,455.48914847284055,3409995
2024-06-17,450.2904052734375,455.5891340153417,445.591567155318,450.6903018458079,2353078
2024-06-18,451.9900207519531,459.6881292160541,449.0907323561189,456.089029419931,2358148
2024-06-19,454.9892883300781,459.68812659720453,451.49013981810674,452.3899147620115,2088094
2024-06-20,450.9902648925781,457.7885984206729,427.8958784357221,448.8907696673814,7448883
