"('date', '')","('close', 'rr.l')","('high', 'rr.l')","('low', 'rr.l')","('open', 'rr.l')","('volume', 'rr.l')"
2024-04-18,402.4666442871094,406.6753103729985,397.9670172081231,406.16634986918444,35276400
2024-04-19,395.46722412109375,399.26689700144624,391.96751417311947,398.3669776892626,43758567
2024-04-22,406.2663269042969,408.51614049769637,398.7669482596319,401.4667367777312,25401886
2024-04-23,417.1654357910156,417.76536165258864,406.56630818752416,407.46622749493264,64561423
2024-04-24,416.9654541015625,424.1648698316382,414.46566121126534,417.1654497388062,144490375
2024-04-25,405.6664123535156,414.7676482777879,400.46683080865637,414.0657105670915,96112155
2024-04-26,421.06512451171875,421.76504821856633,408.96612070568005,411.66590925865694,36051385
2024-04-29,414.765625,424.16487069877235,411.364905768606,421.2650865280596,43510772
2024-04-30,413.0657653808594,423.6648928790402,411.56588971173136,415.7655232762606,54038891
2024-05-01,407.46624755859375,410.96595766032397,408.46616473051665,412.9657920041698,10108551
2024-05-02,406.46630859375,405.9663500345941,405.9663500345941,405.9663500345941,47513511
2024-05-03,418.06536865234375,418.06536865234375,403.9665306623555,412.16586354023514,13155809
2024-05-07,418.3653259277344,425.8647044894709,415.96553089098853,423.96486802350756,29887433
2024-05-08,428.66448974609375,428.66448974609375,417.36540776502574,418.8652834737034,32806207
2024-05-09,433.8640441894531,436.6638305114327,425.16478331538906,427.96453912231897,100297087
2024-05-10,423.5649108886719,440.36350680446293,423.5649108886719,434.16403878282443,16823465
2024-05-13,420.6651611328125,426.16470550908383,418.16536823450735,422.26500417568775,19215359
2024-05-14,419.56524658203125,423.2649217662624,415.1656171795415,418.5653294216904,49667501
2024-05-15,426.46466064453125,428.3644971094571,416.9654478048523,421.76503787572295,25430594
2024-05-16,420.36517333984375,429.46442571528473,420.06521039402554,426.9646327832982,15321857
2024-05-17,418.06536865234375,420.76512666209686,413.16578069534,419.4652465664805,18659793
2024-05-20,436.7637939453125,437.8637089008097,417.6654010096175,418.3653246976252,70841281
2024-05-21,432.964111328125,439.46357258362804,430.9642770956625,435.66389974796886,28192923
2024-05-22,427.96453857421875,439.763548693376,424.3648307448836,431.66424422118394,63080461
2024-05-23,440.3634948730469,446.6629910570743,419.76519603591635,428.96444577367913,136516651
2024-05-24,444.76312255859375,445.2630811183561,435.2539315021465,436.9637812323201,25762447
2024-05-28,450.962646484375,460.161896711806,442.06338971884645,448.6628491850425,138754576
2024-05-29,446.96295166015625,453.7623758552308,442.46332463002045,449.262748825095,50721872
2024-05-30,450.962646484375,451.762568019347,440.97848812683986,442.9633090744526,19315320
2024-05-31,453.3624267578125,457.1621302121248,447.9628802859471,451.06262953379286,44051067
2024-06-03,460.86181640625,468.06123221840306,458.56201912697765,459.26194283521045,51917083
2024-06-04,447.962890625,462.6616851796529,447.962890625,460.16189226321876,31952810
2024-06-05,453.2624206542969,457.96204334883066,448.7627935908258,450.662660540775,19116764
